LIMIT_BAL,MARRIAGE,EDUCATION,SEX,AGE,PAY_1,PAY_2,PAY_3,BILL_AMT1,BILL_AMT2,BILL_AMT3,PAY_AMT1,PAY_AMT2,PAY_AMT3
30000.0,1,1,2,40,0,0,0,24430.0,23881.0,24234.0,1600.0,1287.0,1296.0
20000.0,1,1,2,41,2,0,0,16474.0,17203.0,18411.0,1300.0,1500.0,824.0
20000.0,1,1,2,36,0,0,0,18600.0,17947.0,18758.0,1367.0,1178.0,712.0
20000.0,1,1,2,35,0,0,0,2948.0,3372.0,0.0,1000.0,0.0,0.0
170000.0,1,1,2,38,0,0,0,145196.0,110163.0,112157.0,13998.0,3760.0,4000.0
20000.0,1,1,2,40,0,0,0,17012.0,18181.0,19331.0,1450.0,1600.0,382.0
200000.0,1,1,2,32,0,0,0,160320.0,162140.0,165431.0,5888.0,5990.0,6031.0
370000.0,1,1,2,37,0,0,0,43531.0,59801.0,53925.0,20000.0,8000.0,0.0
160000.0,1,1,2,39,0,0,0,89397.0,90348.0,8274.0,6353.0,1200.0,70000.0
30000.0,1,1,2,36,2,2,2,27274.0,25744.0,27504.0,0.0,3000.0,1000.0
240000.0,1,1,2,41,0,0,0,49001.0,47026.0,45827.0,1923.0,1682.0,2000.0
270000.0,1,1,2,40,0,0,0,178592.0,170225.0,156719.0,6081.0,5072.0,5009.0
180000.0,1,1,2,44,0,0,0,174590.0,175233.0,106288.0,5299.0,3305.0,5040.0
240000.0,1,1,2,40,0,0,0,2530.0,464.0,1316.0,464.0,1316.0,1104.0
200000.0,1,1,2,43,0,0,0,102211.0,54762.0,55858.0,2573.0,2604.0,1997.0
250000.0,1,1,2,35,0,0,0,244628.0,243223.0,245031.0,7938.0,8101.0,8430.0
50000.0,1,1,2,40,0,0,0,6563.0,7422.0,8292.0,1130.0,1000.0,307.0
30000.0,1,1,2,39,2,0,0,14923.0,10936.0,11436.0,1000.0,500.0,1520.0
300000.0,1,1,2,36,0,0,0,1378.0,1109.0,0.0,1422.0,0.0,474.0
140000.0,1,1,2,39,0,0,0,3146.0,0.0,2000.0,0.0,2000.0,4716.0
160000.0,1,1,2,38,2,0,0,135.0,0.0,0.0,0.0,0.0,0.0
160000.0,1,1,2,39,0,0,0,2579.0,1155.0,3334.0,1155.0,3334.0,0.0
150000.0,1,1,2,40,3,4,4,108189.0,112968.0,117613.0,8000.0,8000.0,8000.0
250000.0,1,1,2,41,0,0,0,31898.0,103675.0,91487.0,94000.0,3000.0,7000.0
50000.0,1,1,2,31,0,0,0,21029.0,18765.0,19145.0,1298.0,678.0,687.0
80000.0,1,1,2,39,0,0,0,47041.0,25439.0,26140.0,1299.0,1000.0,3000.0
110000.0,1,1,2,38,0,0,0,96752.0,98884.0,98501.0,5000.0,3000.0,3000.0
500000.0,1,1,2,37,0,0,0,11076.0,3834.0,-754.0,4024.0,754.0,7030.0
330000.0,1,1,2,39,0,0,0,163406.0,137664.0,3381.0,7558.0,5000.0,42054.0
470000.0,1,1,2,35,0,0,0,74993.0,48344.0,45433.0,1542.0,1041.0,2019.0
80000.0,1,1,2,34,0,0,0,103077.0,98328.0,93376.0,5000.0,5000.0,2000.0
50000.0,1,1,2,42,0,0,0,40012.0,31089.0,14638.0,1612.0,652.0,1300.0
240000.0,1,1,2,40,0,0,0,93266.0,95837.0,49459.0,4840.0,4000.0,1500.0
80000.0,1,1,2,32,0,0,0,36215.0,37330.0,38407.0,2000.0,2000.0,1700.0
20000.0,1,1,2,32,0,0,0,7698.0,6005.0,6411.0,1039.0,1000.0,123.0
210000.0,1,1,2,38,0,0,0,402.0,11305.0,1368.0,11401.0,1368.0,2684.0
200000.0,1,1,2,33,0,0,0,91948.0,17042.0,10075.0,1000.0,212.0,102.0
200000.0,1,1,2,37,0,0,0,77044.0,80096.0,82269.0,4195.0,4300.0,5000.0
230000.0,1,1,2,43,0,0,0,225.0,5703.0,6560.0,5703.0,1000.0,5000.0
50000.0,1,1,2,31,0,0,0,36236.0,21068.0,18132.0,2000.0,2000.0,1000.0
50000.0,1,1,2,39,0,0,0,0.0,0.0,0.0,0.0,0.0,1075.0
50000.0,1,1,2,34,0,0,0,49100.0,50380.0,19144.0,2500.0,644.0,628.0
310000.0,1,1,2,37,0,0,0,6514.0,-3484.0,-3484.0,0.0,0.0,0.0
240000.0,1,1,2,36,0,0,2,1411.0,1696.0,1437.0,1200.0,0.0,1479.0
100000.0,1,1,2,41,0,0,0,35173.0,35828.0,36126.0,1894.0,1582.0,1433.0
30000.0,1,1,2,34,0,0,0,30900.0,0.0,0.0,0.0,0.0,0.0
150000.0,1,1,2,36,0,0,2,0.0,530.0,530.0,530.0,0.0,1166.0
150000.0,1,1,2,33,0,0,0,36466.0,31907.0,33300.0,20000.0,10000.0,10000.0
150000.0,3,1,2,37,0,0,0,17493.0,9160.0,2939.0,9160.0,2939.0,3396.0
140000.0,1,1,2,41,2,0,0,108669.0,110174.0,111079.0,5500.0,4900.0,5000.0
110000.0,1,1,2,32,0,0,0,105080.0,107420.0,107325.0,5540.0,5361.0,4500.0
220000.0,1,1,2,36,2,2,0,1205.0,825.0,1783.0,325.0,1283.0,507.0
190000.0,1,1,2,37,0,0,0,127014.0,120826.0,112211.0,4202.0,4200.0,4200.0
360000.0,1,1,2,40,0,0,0,0.0,0.0,0.0,0.0,0.0,474.0
360000.0,1,1,2,35,0,0,0,-103.0,-103.0,-103.0,0.0,0.0,0.0
100000.0,1,1,2,34,0,0,0,13585.0,7886.0,5578.0,4000.0,5578.0,11756.0
360000.0,1,1,2,40,0,0,0,2128.0,960.0,6658.0,982.0,6858.0,0.0
30000.0,1,1,2,34,0,0,0,20619.0,21631.0,22062.0,1358.0,789.0,1000.0
360000.0,1,1,2,37,0,0,0,6469.0,465.0,4251.0,467.0,5452.0,41.0
210000.0,1,1,2,36,0,0,0,133339.0,137000.0,55855.0,5778.0,1955.0,3370.0
180000.0,1,1,2,34,0,0,0,66092.0,65236.0,65912.0,2370.0,3000.0,3000.0
180000.0,1,1,2,35,0,0,0,7239.0,30418.0,31370.0,30418.0,31370.0,13496.0
130000.0,3,1,2,38,0,0,0,0.0,11836.0,7216.0,11836.0,2000.0,2000.0
80000.0,1,1,2,39,2,0,0,57076.0,58358.0,58992.0,2800.0,2200.0,4700.0
30000.0,1,1,2,37,0,0,0,11431.0,12439.0,12530.0,1503.0,594.0,610.0
160000.0,1,1,2,33,2,0,0,55371.0,56316.0,59331.0,2000.0,3500.0,2000.0
150000.0,1,1,2,37,0,0,0,18915.0,16047.0,17633.0,16047.0,18776.0,0.0
50000.0,1,1,2,39,2,0,0,18856.0,19590.0,18861.0,1200.0,477.0,121.0
300000.0,1,1,2,40,0,0,0,5688.0,2297.0,3115.0,2018.0,3138.0,3187.0
190000.0,1,1,2,33,2,0,2,291.0,582.0,291.0,582.0,0.0,582.0
70000.0,1,1,2,35,0,0,0,40094.0,39610.0,31047.0,1700.0,1243.0,1000.0
240000.0,1,1,2,40,0,0,0,10412.0,4578.0,5928.0,1150.0,5928.0,3619.0
60000.0,1,1,2,37,0,0,0,0.0,0.0,0.0,0.0,0.0,982.0
60000.0,1,1,2,35,0,0,0,29510.0,30389.0,24914.0,1403.0,1500.0,908.0
50000.0,1,1,2,39,0,0,0,46403.0,38343.0,32214.0,2046.0,1866.0,310.0
320000.0,1,1,2,34,0,0,0,241167.0,238196.0,231580.0,10000.0,10000.0,19000.0
160000.0,1,1,2,37,0,0,0,0.0,0.0,1188.0,0.0,1188.0,0.0
260000.0,1,1,2,38,0,0,0,241535.0,174423.0,46654.0,7256.0,2312.0,200128.0
200000.0,1,1,2,37,0,0,0,59688.0,53084.0,46363.0,2200.0,1700.0,1489.0
50000.0,1,1,2,32,0,0,0,48206.0,48659.0,47248.0,2120.0,1750.0,1700.0
130000.0,1,1,2,37,0,0,0,390.0,99235.0,98080.0,99235.0,4368.0,3449.0
230000.0,1,1,2,38,0,0,0,8681.0,8888.0,4932.0,8888.0,4932.0,10986.0
160000.0,1,1,2,39,0,0,0,15041.0,15877.0,12311.0,4055.0,6000.0,7000.0
30000.0,1,1,2,36,0,0,0,0.0,1310.0,816.0,1310.0,816.0,0.0
240000.0,1,1,2,36,2,0,0,5979.0,6938.0,41858.0,6938.0,41877.0,0.0
50000.0,1,1,2,37,0,0,0,15681.0,35492.0,7988.0,3100.0,3000.0,1500.0
190000.0,1,1,2,40,0,0,0,4575.0,5029.0,6494.0,1300.0,2000.0,678.0
150000.0,1,1,2,38,0,0,0,33060.0,33988.0,35112.0,3995.0,3113.0,2540.0
80000.0,1,1,2,37,0,0,0,62938.0,54748.0,49857.0,2340.0,2009.0,1793.0
130000.0,1,1,2,32,0,2,0,780.0,390.0,540.0,0.0,540.0,11040.0
360000.0,1,1,2,37,0,0,0,23022.0,12272.0,34345.0,12280.0,25007.0,25008.0
120000.0,1,1,2,41,0,2,0,23333.0,16721.0,17400.0,0.0,7313.0,15000.0
190000.0,1,1,2,39,0,0,0,362680.0,161193.0,123203.0,6596.0,4831.0,2806.0
500000.0,1,1,2,32,0,0,0,3684.0,7544.0,14459.0,7594.0,14484.0,9762.0
170000.0,1,1,2,38,0,0,0,14540.0,14315.0,15535.0,1500.0,1542.0,1456.0
50000.0,1,1,2,39,0,0,0,34713.0,39803.0,41790.0,6000.0,3000.0,3500.0
30000.0,1,1,2,35,0,0,0,1393.0,1393.0,1543.0,1393.0,1543.0,1596.0
50000.0,1,1,2,43,0,0,0,0.0,197.0,2995.0,197.0,2995.0,19515.0
20000.0,1,1,2,41,0,0,0,17384.0,13648.0,13924.0,1500.0,1400.0,2000.0
280000.0,1,1,2,40,0,0,0,4160.0,3590.0,274.0,3607.0,275.0,5275.0
150000.0,1,1,2,39,0,0,0,0.0,0.0,316.0,0.0,316.0,316.0
150000.0,1,1,2,35,0,0,0,50558.0,52738.0,53747.0,3000.0,2500.0,3000.0
300000.0,1,1,2,43,0,0,0,736.0,736.0,1025.0,736.0,1025.0,27000.0
340000.0,1,1,2,29,0,0,0,134235.0,128079.0,64598.0,6706.0,3003.0,241.0
180000.0,1,1,2,37,0,0,0,14445.0,15404.0,19885.0,1500.0,4911.0,10355.0
50000.0,1,1,2,38,0,0,2,72898.0,36103.0,29384.0,5396.0,6.0,1003.0
50000.0,1,1,2,40,0,0,0,918.0,19583.0,19593.0,19583.0,1000.0,1000.0
10000.0,1,1,2,36,0,0,0,9727.0,5732.0,6576.0,3000.0,1104.0,1000.0
150000.0,1,1,2,40,0,0,0,140522.0,138722.0,130494.0,6100.0,30000.0,19227.0
320000.0,1,1,2,40,0,0,0,13260.0,13217.0,17967.0,13289.0,18064.0,0.0
30000.0,1,1,2,39,3,2,2,11791.0,11305.0,12216.0,0.0,1100.0,500.0
30000.0,1,1,2,43,2,0,0,34702.0,34822.0,15722.0,1000.0,18000.0,1000.0
150000.0,1,1,2,37,0,0,0,19440.0,14945.0,12966.0,2020.0,2000.0,2000.0
180000.0,1,1,2,42,0,0,0,4835.0,2220.0,11303.0,2200.0,11303.0,187.0
110000.0,1,1,2,32,0,2,0,225099.0,221798.0,111960.0,0.0,4400.0,4218.0
140000.0,1,1,2,39,0,0,0,232.0,107.0,107.0,107.0,107.0,107.0
200000.0,1,1,2,41,0,0,0,199344.0,186878.0,140743.0,10000.0,6000.0,10000.0
80000.0,1,1,2,40,0,0,0,390.0,388.0,1187.0,388.0,1191.0,263.0
50000.0,1,1,2,40,0,0,0,49246.0,50376.0,9408.0,2310.0,336.0,348.0
160000.0,1,1,2,37,0,0,0,155926.0,113767.0,50531.0,20258.0,20157.0,0.0
30000.0,1,1,2,37,0,0,2,28704.0,30428.0,28914.0,3600.0,0.0,1200.0
320000.0,1,1,2,39,0,0,0,135038.0,108924.0,109710.0,8000.0,4000.0,9000.0
60000.0,1,1,2,37,0,0,0,60281.0,59968.0,40377.0,2203.0,1500.0,1600.0
390000.0,1,1,2,38,0,0,0,1466.0,3273.0,6965.0,3273.0,6965.0,4893.0
130000.0,1,1,2,35,0,0,0,69269.0,72276.0,74347.0,5000.0,4347.0,5000.0
10000.0,1,1,2,34,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
200000.0,1,1,2,36,0,2,0,11080.0,8736.0,26383.0,0.0,20000.0,10000.0
250000.0,1,1,2,43,0,0,0,6225.0,3645.0,3090.0,2000.0,1000.0,1000.0
200000.0,1,1,2,38,0,0,0,197031.0,196787.0,194632.0,7100.0,7100.0,7400.0
100000.0,1,1,2,36,0,0,0,23828.0,25138.0,26499.0,2000.0,2000.0,500.0
420000.0,1,1,2,34,0,0,0,-2953.0,-2953.0,-2953.0,0.0,0.0,0.0
500000.0,1,1,2,36,0,0,0,74399.0,68761.0,70260.0,6720.0,5000.0,5000.0
70000.0,1,1,2,36,4,3,2,73268.0,70275.0,46045.0,2001.0,0.0,1666.0
50000.0,1,1,2,35,0,0,0,49163.0,49811.0,49978.0,2500.0,2000.0,1102.0
20000.0,1,1,2,30,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
490000.0,1,1,2,42,0,0,0,93626.0,52074.0,118595.0,2647.0,88595.0,3203.0
160000.0,1,1,2,34,0,0,0,-78.0,622.0,-10.0,700.0,0.0,652.0
390000.0,1,1,2,35,0,0,0,32910.0,78686.0,63021.0,78772.0,1371.0,919.0
90000.0,1,1,2,41,0,0,0,96216.0,89964.0,29802.0,4022.0,686.0,753.0
130000.0,1,1,2,36,0,0,0,83958.0,84906.0,85690.0,4012.0,3885.0,3158.0
380000.0,1,1,2,35,0,0,0,61070.0,62350.0,63623.0,2263.0,2310.0,2282.0
30000.0,1,1,2,39,2,0,0,19867.0,21045.0,24681.0,1500.0,4000.0,0.0
50000.0,1,1,2,36,0,0,0,49364.0,50558.0,23921.0,2493.0,856.0,887.0
300000.0,1,1,2,39,0,0,0,25576.0,1561.0,2106.0,1561.0,2106.0,2656.0
110000.0,3,1,2,42,0,0,0,316.0,632.0,150.0,632.0,150.0,632.0
190000.0,1,1,2,39,0,0,0,184249.0,158883.0,99255.0,7000.0,4000.0,3000.0
20000.0,1,1,2,34,0,2,2,12289.0,5560.0,6310.0,1000.0,1000.0,1000.0
100000.0,1,1,2,42,0,0,0,37785.0,32905.0,29866.0,1385.0,971.0,1018.0
250000.0,1,1,2,41,0,0,0,7745.0,12035.0,33604.0,12046.0,33718.0,0.0
50000.0,1,1,2,34,0,0,0,33666.0,16177.0,16607.0,2000.0,1000.0,1000.0
50000.0,1,1,2,38,0,2,2,47349.0,47475.0,46730.0,1500.0,101.0,1590.0
